"Run","Source","Vp","mean","H2","Va","CVa"
418,"Pooled",1.07985652543245,26.0791139240506,0.396,0.427623184071248,0.0250748180273366
419,"Pooled",2.87344607242121,26.862625,0.396,1.1378846446788,0.039710071497119
420,"Pooled",0.305552532086775,27.5503144654088,0.396,0.120998802706363,0.012625947412049
421,"Pooled",3.79000126595026,26.320125,0.396,1.5008405013163,0.0465456739496201
422,"Pooled",5.20128695859226,25.8640004086795,0.396,2.05970963560253,0.055489051576238
423,"Pooled",5.26367208575178,26.365125,0.396,2.08441414595771,0.0547598400881127
424,"Pooled",6.3308934894349,26.4925,0.396,2.50703382181622,0.0597664077574773
425,"Pooled",0.32253382093519,27.2670807453416,0.396,0.127723393090335,0.0131067971947577
426,"Pooled",3.16059517056388,26.262625,0.396,1.2515956875433,0.042598459762417
427,"Pooled",5.23008222314277,26.942625,0.396,2.07111256036454,0.0534148415943152
428,"Pooled",3.27773593827616,26.637625,0.396,1.29798343155736,0.042769982614015
429,"Pooled",3.52589727376641,26.595125,0.396,1.3962553204115,0.0444304165183983
430,"Pooled",5.63711521484861,26.265,0.396,2.23229762508005,0.0568851154018191
431,"Pooled",6.22947491789052,26.0725,0.396,2.46687206748464,0.0602407870898866
432,"Pooled",5.12533903524846,26.565125,0.396,2.02963425795839,0.0536286702509812
433,"Pooled",0.425310654341662,27.7948717948718,0.396,0.168423019119298,0.0147650883128631
434,"Pooled",2.16448344656355,26.562625,0.396,0.857135444839167,0.0348540890315765
435,"Pooled",3.20688974289587,26.5575,0.396,1.26992833818677,0.0424328710052418
436,"Pooled",3.59703972432907,26.915,0.396,1.42442773083431,0.0443430769973886
437,"Pooled",1.20546885989714,27.168788565522,0.396,0.477365668519267,0.0254305244675462
438,"Pooled",0.604484070559077,28.2119205298013,0.396,0.239375691941395,0.0173423270274443
439,"Pooled",3.76998741257949,26.34,0.396,1.49291501538148,0.0463875859897233
440,"Pooled",4.02777205039601,27.0875,0.396,1.59499773195682,0.0466241696762085
441,"Pooled",4.73837134798301,26.757625,0.396,1.87639505380127,0.051193471044972
442,"Pooled",1.12455357785793,26.1775,0.396,0.445323216831739,0.0254923281631053
443,"Pooled",2.25681134276173,26.5675,0.396,0.893697291733643,0.0355831614939426
444,"Pooled",3.33455475675763,26.555,0.396,1.32048368367602,0.0432733197638719
445,"Pooled",2.50011946387468,26.46,0.396,0.990047307694372,0.0376043541131339
446,"Pooled",0.382000793379773,27.3006535947713,0.396,0.15127231417839,0.0142464507466352
447,"Pooled",1.98870255022327,26.127625,0.396,0.787526209888415,0.0339650747031622
448,"Pooled",3.3909410934115,26.7225,0.396,1.34281267299095,0.0433641292216333
449,"Pooled",0.581572097247556,26.5534591194969,0.396,0.230302550510032,0.0180729176270063
450,"Pooled",3.37008271551791,25.905,0.396,1.33455275534509,0.0445948057489265
451,"Pooled",0.135445694356398,27.603125,0.396,0.0536364949651334,0.00839019284100524
452,"Pooled",2.00654179685596,26.8875,0.396,0.79459055155496,0.0331528810097104
453,"Pooled",2.05206564593919,26.365,0.396,0.812617995791919,0.0341912865078234
454,"Pooled",4.56125415846604,26.17,0.396,1.80625664675255,0.0513553870224822
455,"Pooled",5.63298080802605,26.0725,0.396,2.23066039997831,0.0572840945136122
456,"Pooled",1.432632541639,26.6975,0.396,0.567322486489045,0.0282126839440283
457,"Pooled",3.61612640219816,27.4423659889065,0.396,1.43198605527047,0.043606159836598
458,"Pooled",0.264453446211164,27.1925465838509,0.396,0.104723564699621,0.0119006950628072
459,"Pooled",3.72945698118175,26.92,0.396,1.47686496454797,0.0451435115661183
460,"Pooled",1.91702385628188,26.8273390502912,0.396,0.759141447087624,0.0324775869147197
461,"Pooled",1.17907214447417,26.5225,0.396,0.46691256921177,0.0257634087885496
462,"Pooled",3.45548513059077,27.0525,0.396,1.36837211171395,0.0432408976975255
463,"Pooled",1.50477142401924,26.2425,0.396,0.595889483911618,0.0294155961699403
464,"Pooled",4.42828204266478,26.4825,0.396,1.75359968889525,0.0500041729864613
465,"Pooled",0.00394144144144144,26.9464285714286,0.396,0.00156081081081081,0.00146613485822491
466,"Pooled",1.7280454918656,26.6275,0.396,0.684306014778777,0.0310666757981838
467,"Pooled",5.22253698677319,26.260125,0.396,2.06812464676218,0.0547635465944164
468,"Pooled",3.41277772662692,25.940375,0.396,1.35145997974426,0.0448152006028335
469,"Pooled",0.562613610149346,27.0357142857143,0.396,0.222794989619141,0.0174588189686392
470,"Pooled",4.69330947398934,27.39,0.396,1.85855055169978,0.0497731534357077
471,"Pooled",5.40376730137617,26.46,0.396,2.13989185134497,0.0552848419847486
472,"Pooled",4.52241995741703,25.99525,0.396,1.79087830313714,0.0514800593594985
