"Run","Source","Vp","mean","H2","Va","CVa"
413,"Pooled",2.41329040963031,27.163,0.396,0.955663002213604,0.0359894038534868
414,"Pooled",0.465738689895001,26.3901304888684,0.396,0.184432521198421,0.0162733593213495
415,"Pooled",2.58297780288761,26.7631103730584,0.396,1.02285920994349,0.0377895173243713
416,"Pooled",3.514866776516,26.7125,0.396,1.39188724350034,0.0441659414240702
417,"Pooled",1.26473052679033,27.1275,0.396,0.500833288608972,0.0260877618623227
418,"Pooled",1.75130946076398,26.6175,0.396,0.693518546462536,0.0312868454680805
419,"Pooled",3.22000610076994,26.0425,0.396,1.2751224159049,0.0433603987495961
420,"Pooled",1.82364485336538,25.7971207533402,0.396,0.722163361932689,0.0329417365085468
421,"Pooled",0.487681063501188,26.2075364611894,0.396,0.193121701146471,0.0167683117835789
422,"Pooled",1.75701939163382,26.3114063194159,0.396,0.695779679086992,0.0317023757402572
423,"Pooled",4.09534932943171,26.75,0.396,1.62175833445496,0.0476068320678924
424,"Pooled",5.74920744278749,27.353084786246,0.396,2.27668614734385,0.0551626689845899
425,"Pooled",1.82482500038017,27.1275,0.396,0.722630700150549,0.0313363516344967
426,"Pooled",4.22094135778259,27.29,0.396,1.67149277768191,0.0473749447543136
427,"Pooled",0.745699546428566,25.9489524123319,0.396,0.295297020385712,0.0209415924220106
428,"Pooled",0.0790463001672233,26.516149068323,0.396,0.0313023348662204,0.00667233610252735
429,"Pooled",3.36761375198842,26.7135043204722,0.396,1.33357504578742,0.0432292665292136
430,"Pooled",1.85286813845922,25.894671777178,0.396,0.733735782829851,0.0330795382771993
431,"Pooled",0.842424168882726,27.003,0.396,0.333599970877559,0.0213895173838853
432,"Pooled",2.13630366577274,26.3213082881,0.396,0.845976251646003,0.034943919317475
433,"Pooled",2.04947375090249,26.935,0.396,0.811591605357387,0.0334465859016644
434,"Pooled",1.94110650830124,26.2296948652531,0.396,0.768678177287291,0.0334255865856395
435,"Pooled",1.72895883270259,26.5655,0.396,0.684667697750224,0.0311474089469028
436,"Pooled",1.11558934243611,27.3425,0.396,0.441773379604699,0.0243086897340801
437,"Pooled",2.27484614387373,26.9375,0.396,0.900839072973997,0.0352343545359504
438,"Pooled",0.960021002378382,25.6519746065365,0.396,0.380168316941839,0.0240362747003812
439,"Pooled",2.07268863199643,26.5056272314451,0.396,0.820784698270585,0.0341803527014863
440,"Pooled",0.612033342801986,27.3425,0.396,0.242365203749586,0.0180051570342556
441,"Pooled",3.3412572800789,26.615,0.396,1.32313788291125,0.0432191360872358
442,"Pooled",0.780521371035527,27.1797707691469,0.396,0.309086462930069,0.0204547512638175
443,"Pooled",6.28809245959983,26.61,0.396,2.49008461400153,0.0593010219673257
444,"Pooled",1.04680705000732,26.4125,0.396,0.4145355918029,0.0243765029729242
445,"Pooled",2.97829713764569,26.9105412475411,0.396,1.1794056665077,0.040356098396947
446,"Pooled",1.82255616173275,26.8575,0.396,0.721732240046167,0.0316316952975987
447,"Pooled",1.73825399565668,26.503,0.396,0.688348582280046,0.0313046732125516
448,"Pooled",1.33980598569814,26.8025,0.396,0.530563170336463,0.0271764825374171
449,"Pooled",2.6534036166485,27.0893961291146,0.396,1.0507478321928,0.0378398954153847
450,"Pooled",0.233257733557718,26.9051061609953,0.396,0.0923700624888565,0.01129616191339
451,"Pooled",1.65147734043542,26.0820786320129,0.396,0.653985026812426,0.031005711568746
452,"Pooled",2.10763915940125,26.5791114017594,0.396,0.834625107122893,0.0343720365602149
453,"Pooled",2.18193860583246,26.535,0.396,0.864047687909656,0.035030776512038
454,"Pooled",3.31089679428008,26.0125,0.396,1.31111513053491,0.0440188124031046
455,"Pooled",1.61477084926069,26.8040746670684,0.396,0.639449256307234,0.0298333638090557
456,"Pooled",3.56473233407275,26.7269902729991,0.396,1.41163400429281,0.0444540158571354
457,"Pooled",0.41517587939698,27.005,0.396,0.164409648241204,0.0150147971225978
458,"Pooled",1.84424258932636,26.57,0.396,0.730320065373237,0.0321636303386485
459,"Pooled",4.01868898341518,26.67,0.396,1.59140083743241,0.0473006136922857
460,"Pooled",4.00441417460689,26.1853018470631,0.396,1.58574801314433,0.0480905233586817
461,"Pooled",1.54411293996019,26.3607742647494,0.396,0.611468724224237,0.0296639487436967
462,"Pooled",1.33450352149714,26.1002602684716,0.396,0.528463394512869,0.0278523995710955
463,"Pooled",2.36241226269945,26.853,0.396,0.935515256028981,0.0360190807784767
464,"Pooled",4.53790678231669,27.48,0.396,1.79701108579741,0.0487818930548972
465,"Pooled",2.05338080580449,27.19,0.396,0.813138799098577,0.0331644755877716
466,"Pooled",4.8222647144035,27.2055,0.396,1.90961682690379,0.0507944666333741
467,"Pooled",5.66771296984309,26.986,0.396,2.24441433605787,0.0555153396220428
468,"Pooled",1.63479207943076,26.5086169204566,0.396,0.647377663454582,0.0303523125919537
469,"Pooled",2.83474054667819,26.5555,0.396,1.12255725648456,0.0398978752304418
470,"Pooled",1.52202491764984,26.1073372348441,0.396,0.602721867389337,0.0297369138807137
471,"Pooled",0.725397629491635,25.7266911306548,0.396,0.287257461278688,0.0208329958086191
472,"Pooled",3.71753623908258,27.5371592852966,0.396,1.4721443506767,0.0440611736955271
473,"Pooled",2.65379440517573,27.073,0.396,1.05090258444959,0.0378656003437309
474,"Pooled",4.35557174752187,26.8755,0.396,1.72480641201866,0.0488667691355919
475,"Pooled",2.34383919416533,26.535,0.396,0.928160320889472,0.0363071707082063
476,"Pooled",2.16914311333744,26.5225,0.396,0.858980672881627,0.034944371844753
477,"Pooled",3.92009378332668,27.1575,0.396,1.55235713819737,0.0458781643984973
478,"Pooled",1.4909237092017,27.1993077414053,0.396,0.590405788843872,0.0282499349883341
479,"Pooled",3.47703908878994,26.8105,0.396,1.37690747916082,0.043767069242135
480,"Pooled",1.35472763275403,26.525,0.396,0.536472142570596,0.0276132926120774
481,"Pooled",3.27738296332863,26.6325,0.396,1.29784365347814,0.0427759095893008
482,"Pooled",1.07883097384807,27.21,0.396,0.427217065643837,0.0240212583759601
483,"Pooled",2.84472748035277,26.5705,0.396,1.1265120822197,0.0399455311273854
484,"Pooled",1.2010857636826,26.2204545683878,0.396,0.475629962418311,0.0263023399212629
485,"Pooled",1.88458321593117,26.5725,0.396,0.746294953508743,0.0325104392065568
486,"Pooled",2.6482951405504,26.9485,0.396,1.04872487565796,0.0380011017538015
